ITTER107,codice_regione,codice_provincia
IT,0,0
ITF1,13,-1
ITC11,-1,1
ITC12,-1,2
ITC13,-1,96
ITC14,-1,103
ITC15,-1,3
ITC16,-1,4
ITC17,-1,5
ITC18,-1,6
ITF5,17,-1
ITC20,-1,7
ITF6,18,-1
ITC31,-1,8
ITC32,-1,9
ITC33,-1,10
ITC34,-1,11
ITF3,15,-1
ITC41,-1,12
ITC42,-1,13
ITC43,-1,97
ITC44,-1,14
ITC45,-1,15
ITC46,-1,16
ITC47,-1,17
ITC48,-1,18
ITC49,-1,98
ITC4A,-1,19
ITC4B,-1,20
ITD5,8,-1
ITD4,6,-1
ITD10,-1,21
ITE4,12,-1
ITD20,-1,22
ITC3,7,-1
ITD31,-1,23
ITD32,-1,24
ITD33,-1,25
ITD34,-1,26
ITD35,-1,27
ITD36,-1,28
ITD37,-1,29
ITC4,3,-1
ITD41,-1,93
ITD42,-1,30
ITD43,-1,31
ITD44,-1,32
ITE3,11,-1
ITD51,-1,33
ITD52,-1,34
ITD53,-1,35
ITD54,-1,36
ITD55,-1,37
ITD56,-1,38
ITD57,-1,39
ITD58,-1,40
ITD59,-1,99
ITF2,14,-1
ITE11,-1,45
ITE12,-1,46
ITE13,-1,47
ITE14,-1,48
ITE15,-1,100
ITE16,-1,49
ITE17,-1,50
ITE18,-1,51
ITE19,-1,52
ITE1A,-1,53
ITC1,1,-1
ITE21,-1,54
ITE22,-1,55
ITD1,21,-1
ITE31,-1,41
ITE32,-1,42
ITE33,-1,43
ITE34,-1,44
ITD2,22,-1
ITE41,-1,56
ITE42,-1,57
ITE43,-1,58
ITE44,-1,59
ITE45,-1,60
ITF4,16,-1
ITF11,-1,66
ITF12,-1,67
ITF13,-1,68
ITF14,-1,69
ITG2,20,-1
ITF21,-1,94
ITF22,-1,70
ITG1,19,-1
ITF31,-1,61
ITF32,-1,62
ITF33,-1,63
ITF34,-1,64
ITF35,-1,65
ITE1,9,-1
ITF41,-1,71
ITF42,-1,72
ITF43,-1,73
ITF44,-1,74
ITF45,-1,75
ITDA,,
ITF51,-1,76
ITF52,-1,77
ITE2,10,-1
ITF61,-1,78
ITF62,-1,101
ITF63,-1,79
ITF64,-1,102
ITF65,-1,80
ITC2,2,-1
ITG11,-1,81
ITG12,-1,82
ITG13,-1,83
ITG15,-1,85
ITG16,-1,86
ITG17,-1,87
ITG18,-1,88
ITD3,5,-1
ITG25,-1,90
ITG26,-1,91
ITG27,-1,92
IT109,-1,109
IT110,-1,110
ITG14,-1,84
ITG19,-1,89
ITG28,-1,95
IT108,-1,108
IT111,-1,111
